class,tweet
1,"['""', '@autoworid', ':', 'hennessey', 'venom', 'gt', '🙈', 'http://t.co/i8egmnkaj9', '""', ""that's"", 'one', 'sexy', 'bitch']"
1,"['""', '@bossbytchh', ':', 'seh', 'pussy', 'wetter', 'shower', 'curtain', '...', '#ahmesehwetness', '""', '<', 'lmao', '!', '!']"
1,"['""', '@bro_hen314', ':', '#eaglesnation', 'every', '#eagles', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist', 'shit', '""']"
1,"['""', '@bvsedchink', ':', 'yo', 'fuck', 'skateboarding', ',', ""y'all"", 'wood', 'pushing', 'faggots', 'man', ',', 'ball', 'life', 'http://t.co/vbczp6hmt7', '""', '@amjemiebenn']"
2,"['""', '@babyanimalpics', ':', 'baby', 'monkey', 'bathtime', 'http://t.co/7kpwadlf0r', '""', 'awwwwe', '!', 'soooo', 'adorable', '!']"
1,"['""', '@baylaagottabody', ':', '😂', '😂', '😂', ""ain't"", 'shit', '.', '""', 'damn', 'skippy', 'lol']"
1,"['""', '@beeasyjrizzy', ':', 'u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussy', '""', 'bs', 'must', 'b', '>', '30', '%', 'chance']"
1,"['""', '@beenbasedb', ':', '@_kudabrazyy', 'http://t.co/luubgl9y5u', '""', '0', 'rings', '0', 'mvps', '0', 'bitches', 'lol']"
1,"['""', '@beenflynsolo', ':', 'ppl', 'talk', 'bad', 'ghetto', '/', 'hood', '...', 'kid', 'growing', ',', 'nigga', 'funnnnnnn', '!', '""']"
1,"['""', '@bestproadvice', ':', 'facts', 'tattoos', '...', 'tattoo', 'http://t.co/zwnbhpdz8e', '""', ""he's"", 'pussy', 'tattooing', 'nipples']"
1,"['""', '@bill215_', ':', '💯', '💯', '💯', 'rt', '@nel_ayden', 'bitches', 'wanting', 'act', 'like', 'niggas', 'bad', '😩', '😩', '😩', 'shit', 'aint', 'cuteeeee', '""', 'niggas', 'act', 'like', 'bitches', '..']"
1,"['""', '@bitchjones92', ':', 'get', 'worshiping', 'bitch', '!', 'http://t.co/r37cejcjou', '""', 'woof', 'woof']"
1,"['""', '@blackchiquitita', ':', 'wow', '.', 'rt', '@thatmanpalmer', ""i'm"", 'lost', '.', 'buttcheek', 'piercings', '?', 'http://t.co/yn6guyouq6', '""', 'yeah', 'hoe']"
1,"['""', '@blacknerdjade', ':', 'ok', ',', 'sis', '.', '""', ""she'd"", 'rather', 'broke', 'bitch', '?', '*', 'shrugs', '*', ""she'll"", 'tell', 'works']"
0,"['""', '@blackman38tide', ':', '@whalelookyhere', '@howdydowdy11', 'queer', '""', 'gaywad']"
1,"['""', '@brokenpiecesmsc', ':', '@itsnotadam', 'faggot', 'read', 'tweets', 'dat', 'k', '""', 'even', 'funny', 'lol']"
1,"['""', '@brosconfessions', ':', 'bitch', 'ungrateful', 'http://t.co/06e77bgwbx', '""', 'fr', '...', 'lulwhore']"
1,"['""', '@cashandboobies', ':', 'kidnapped', 'yo', 'bitch', '""']"
0,"['""', '@cb_baby24', ':', '@white_thunduh', 'alsarabsss', '""', 'hes', 'beaner', 'smh', 'tell', 'hes', 'mexican']"
1,"['""', '@ccobey', ':', '@aydanmccoy', 'happy', 'birthday', 'nigs', '""', 'thanks', 'yo']"
1,"['""', '@chlldhoodruiner', ':', 'ur', 'teacher', 'tells', 'u', 'u', 'homework', 'https://t.co/rkk5vawij1', '""', 'bitch', 'need', 'go', '!', '!', '!']"
1,"['""', '@caelang15', ':', '""', '@22edham', ':', '@caelang15', 'nigga', 'eating', 'hoe', 'lol', '""', 'hell', 'yea', 'lol', 'john', 'paul', '""', 'nigga', 'said', 'john', 'paul', '..', 'http://t.co/osipbkpr9h']"
1,"['""', '@canifuckornah', ':', 'would', ""y'all"", 'lil', 'ugly', 'bald', 'headed', 'bitches', 'stop', 'making', 'make-up', '&', 'weave', '?', '""']"
1,"['""', '@carelessone92', ':', 'leafs', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', '#earlychristmas', '""', 'better', 'start', 'looting', 'nig']"
1,"['""', '@causewereguys', ':', 'going', 'back', 'school', 'sucks', 'dick', 'hoes', 'attend', '.', '""']"
1,"['""', '@causewereguys', ':', 'way', 'fuck', 'yo', 'bitch', 'http://t.co/j906t5ze2r', '""', '9', 'year', 'old']"
1,"['""', '@celeynichole', ':', '@white_thunduh', 'come', 'never', 'bring', 'food', '""', 'dont', 'car', 'retard']"
1,"['""', '@chadmfverbeck', ':', 'richnow', 'show', 'hella', 'tinder', 'hoes', 'im', 'friend', 'anymore', '""', 'chill', 'brought', 'like', 'like', '8', 'prople']"
1,"['""', '@chandlerparsons', ':', 'bout', 'cowboys', '!', '!', '!', '""', 'shutup', 'pussy']"
1,"['""', '@clicquotsuave', ':', 'lmaooooooooooo', 'nigga', '@krillz_nuh_care', 'http://t.co/aanpsujmyi', '""', '<', 'bitch', 'want', 'likes', 'depressing', 'shit', '..', 'foh']"
1,"['""', '@coley_cee', ':', '@lil_aerii', 'girl', 'know', 'spitting', 'g', 'shit', '&', 'going', 'lbvs', '""', 'bitch', 'plz']"
1,"['""', '@coley_cee', ':', 'let', 'make', 'couple', 'tweets', 'cuzzo', 'page', ',', 'get', 'twitter', 'jail', '.', '""', 'lmao', 'bitch', 'trick']"
1,"['""', '@comedyposts', ':', 'harlem', 'shake', 'excuse', 'go', 'full', 'retard', '30', 'seconds', '.', '""']"
1,"['""', '@comedytruth', ':', 'amen', 'miley', '🙏', 'http://t.co/p2kb2tfyxr""okay', ',', 'need', 'act', 'like', 'hoe', 'bc', '""', 'emotionally', 'damaged', '""', 'foh']"
1,"['""', '@corybandz', ':', 'one', 'loyal', 'female', 'wayyyyy', 'better', 'hoes', ',', 'idc', '💯', '""']"
1,"['""', '@crhedrys', ':', 'pussy', 'licking', 'pussy', '...', 'meow', 'meow', '#stopwhitepeople2014', '🐱', 'https://t.co/keegdcjs5k', '”', '""', '""', '""', '😕']"
1,"['""', '@dbab_holloway', ':', 'check', '12th', 'man', '.', '#cowboysnation', '""', 'even', 'faggot', 'ny', 'fans', 'stands']"
1,"['""', '@dgotbricks', ':', 'happen', 'vixen', 'ent', 'bitches', '""', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']"
1,"['""', '@daedavidavie', ':', '@white_thunduh', 'im', 'bitch', 'okay', 'nudes', 'pat', '😪', '😏', '🐸', '""', 'wow']"
0,"['""', '@devilgrimz', ':', '@vigxrarts', 'fucking', 'gay', ',', 'blacklisted', 'hoe', '""', 'holding', '#tehgodclan', 'anyway', 'http://t.co/xuccwoetmn']"
1,"['""', '@diamondloudkush', ':', 'fuck', 'wrong', 'bitches', '?', '""', 'nobody', 'knows']"
1,"['""', '@dietrich1892', ':', 'yall', 'shut', ':p', '""', 'make', 'bitch']"
1,"['""', '@dionairish', ':', 'hate', '""', ""i'm"", 'pregnant', '""', 'type', 'bitch', '.', '""']"
1,"['""', '@doyou_q', ':', 'got', 'bitches', 'dm', 'ever', ""read'em"", '""', 'top', '3']"
2,"['""', '@domworldpeace', ':', 'baseball', 'season', 'win', '.', '#yankees', '""', 'love', 'started']"
1,"['""', '@dommoneek', ':', 'little', 'stupid', 'bitch', 'fuck', 'yoooooouuuu', '..', '""']"
1,"['""', '@dreadheadari', ':', 'really', 'asked', 'dead', 'ass', 'serious', 'tho', ',', 'could', 'say', '""', 'bitch', 'wheet', '""', 'lol']"
2,"['""', '@dunderbail', ':', ""i'm"", 'early', 'bird', ""i'm"", 'night', 'owl', ',', ""i'm"", 'wise', 'worms', '.', '""']"
2,"['""', '@edgarpixar', ':', 'overdosing', 'heavy', 'drugs', 'sound', 'bad', 'tonight', '.', '""', 'pussy', 'shit', 'every', 'day', '.']"
2,"['""', '@el_grillo1', ':', 'pit', 'bulls', 'photographed', 'lovely', 'fairy', 'tale', 'creatures', 'http://t.co/q0sm89oolh', '”', '*', '*', 'fairy', 'tale', 'creatures', '.']"
1,"['""', '@ferocious_ghost', ':', '@1stname_bravo', 'aw', '.', '""', '...', 'fag', ',', 'tweet', '""', 'aw', '""', 'lol']"
2,"['""', '@flokid88', ':', 'long', 'lakers', 'trash', ',', 'could', 'careless', '.', ""that's"", 'real', '.', '""', '.', 'cc', ':', '@benballer', 'hahaha']"
1,"['""', '@frosstyy_', ':', '@h0rheyd', 'say', 'anything', 'tho', '""', 'kiss', 'faggot']"
2,"['""', '@funnypicsdepot', ':', '""', 'play', 'soccer', ',', 'cheat', 'girls', ',', 'wear', 'khaki', 'coloured', 'cargos', '""', 'haircut', 'http://t.co/zuai7qwbir', '""', '😂', 'yup']"
1,"['""', '@g27status', ':', 'could', 'go', 'fat', 'ass', 'bitch', 'lap', '""']"
1,"['""', '@gedmelle', ':', '17', 'missed', 'calls', '!', '!', '!', '😠', '😡', '""', 'das', 'yo', 'p', '.', 'bitch', 'twitter', 'finna', 'screamn', '#freemoneymelle']"
1,"['""', '@gtm_al', ':', 'ya', 'side', 'bitch', 'gotta', 'know', 'rules', 'shit', '..', 'anybody', 'ask', 'cousin', 'jersey', 'thinkin', 'bout', 'moving', '""', 'lmmfao', '😂', '😂', '😂']"
1,"['""', '@gagatom1', ':', '“', '@malefoot', ':', '3', '|', 'amo', 'los', 'pies', 'http://t.co/4qe1hdkk8i', '”', '""', 'fuck', 'yeah']"
1,"['""', '@girlthatsvonte', ':', 'hoes', 'thinking', 'meat', 'slap', 'ass', '😴', '👋', '""', 'ainna', 'bruh']"
1,"['""', '@girlthatsvonte', ':', 'yall', 'bitches', 'wit', 'edges', 'talking', '😩', '😴', '✋', '""', '😂', '😂', '😂']"
1,"['""', '@girlthatsvonte', ':', 'yall', 'still', 'going', 'trick', 'treating', 'year', 'nah', '?', '""', 'hell', 'yeah', 'ima', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitches', 'bags', 'n', 'shit']"
1,"['""', '@girllssues', ':', 'wanna', 'sex', 'mom', 'fuck', 'right', 'pussy', 'came', '""', 'damn', 'got', 'hacked', 'like', 'fuck']"
1,"['""', '@gizzy_jones94', ':', 'kiss', 'u', 'eyes', 'open', 'watch', 'bitch', '!', '""', 'lmfao']"
1,"['""', '@goofstroop', ':', 'woulda', 'coulda', 'shoulda', 'ass', 'hoe', '😳', '🙊', '""']"
1,"['""', '@gotti_ltf', ':', 'happy', 'bday', 'bitch', 'ass', 'nigga', '@jetsandaswisher', '""', 'preciate', 'bitch', 'roll', '!']"
1,"['""', '@hbmostdope', ':', '@1jayee', '@pipinhoes', 'used', 'send', 'bitch', '""']"
1,"['""', '@hbmostdope', ':', 'ugly', 'bitches', 'like', ""i'm"", 'wcw', 'duh', 'bitch', ""ain't"", 'nobody', 'elses', '😂', '😂', '""']"
1,"['""', '@halotgmg', ':', '@1stname_bravo', 'nigga', 'know', 'hacky', 'sack', 'hoes', '.', '""', '...', 'nah', ',', 'throw', 'look', 'passes', 'lmao']"
1,"['""', '@heartlessfuck', ':', 'glad', ""i'm"", 'getting', 'outta', 'atlanta', '.', 'nothing', 'bunch', 'niggas', '&', 'outta', 'jail', '&', 'dumb', 'bitches', 'mad', 'kids', 'fuckin', 'em', '.', '""']"
2,"['""', '@hermosaalma', ':', 'ghetto', '...', 'smart', 'https://t.co/mpazq3jswf', '""', ""i'm"", 'idc']"
1,"['""', '@hiimjorib', ':', 'would', 'wife', 'hoe', 'cuz', 'care', 'cheating', '.', '""', '...', 'force', 'relationship', 'first', 'place', '?']"
1,"['""', '@hornyfacts', ':', 'single', 'excuse', 'hoe', '.', '""', '@theonemiss_luu']"
1,"['""', '@hoskinsty96', ':', 'white', 'boy', 'power', 'bitch', '""', 'black', 'power', 'bitch']"
1,"['""', '@hudgens_11', ':', 'lets', 'get', 'drunk', ',', 'get', 'blowed', ',', 'spit', 'shit', 'spark', 'blunts', '&', 'fuck', 'hoes', '!', '""', 'bro', 'white', 'dudes', 'chill', '.']"
1,"['""', '@iscoutgirls', ':', '@verbally_abrupt', 'bitch', 'u', '""', 'around', 'world', 'back', '.', '?']"
1,"['""', '@itsyahboiray', ':', '@anelylove', 'get', 'dick', 'sucked', 'yo', 'party', 'bad', 'bitch', ""i'm"", 'fr', 'gone', 'set', '😂', '😂', '😂', '""', '*', '@anelylove', '*']"
1,"['""', '@itsyesie', ':', '#oomf', 'soooo', 'cute', '.', 'probably', 'hoes', 'lot', '.', '""']"
1,"['""', '@jayten9', ':', 'every', 'cartoon', 'alway', '@_nuffsaid15', 'saving', 'hoes', 'lmao', '.', 'http://t.co/9ukd8wtz6x', '""', 'lmao', 'damn', 'captain', 'saveahoe']"
2,"['""', '@jreebo', ':', 'wants', 'get', 'nose', 'bad', 'bois', '#scally', '#chav', '#sockfetish', '#stinking', 'http://t.co/feqxgn0w6i', '""', 'hot', 'sox', 'legs']"
1,"['""', '@jamesynba', ':', 'wish', 'bitch', 'like', 'brother', 'keezy', '😒', '""', 'ooooow', 'bet']"
1,"['""', '@jasminepore', ':', 'dressed', 'cat', 'halloween', 'basic', '.', '""', '...', 'pussy']"
1,"['""', '@jewelxo', ':', 'pornhub', 'get', 'gaming', 'stream', 'feature', 'dumb', 'bitches', 'gtfo', '""', '@pornhub', 'get', 'katie', '<3']"
1,"['""', '@joebudden', ':', 'stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'ass', 'niggas', '.', '’', 'like', '.', '""', '.', 'says', 'guy', 'hits', 'women', 'bed', '.', 'foh']"
1,"['""', '@johnny55perez', ':', '@white_thunduh', 'ha', 'well', 'iguess', 'make', 'hoes', 'loyal', 'bro', '""', 'theyll', 'never', 'loyal', 'hoes', 'nig']"
1,"['""', '@kazatta', ':', '@1takehov', 'oh', 'man', '..', '""', '5', ',', 'molly', ',', 'ho', 'fuck', 'ya', 'seed', '?', '?', '""', '""', '#fixed']"
1,"['""', '@kelsiebelsi', ':', 'man', 'refer', 'every', 'girl', 'bitch', '""']"
1,"['""', '@keyshawnswag', ':', 'lmfao', 'cat', 'started', 'beating', 'shit', '""', 'nigga', 'finally', 'got', 'pussy', '?', '!', '?', 'nigga', '!', '!', '!']"
2,"['""', '@keyshawnswag', ':', 'peel', 'peel', 'bring', 'back', 'rewind', 'back', ""i'm"", 'move', 'shaq', 'line', '""', 'ooooow', 'tf', 'said', 'trash', '!', '!', '?']"
1,"['""', '@kingcuh', ':', '@16stanleys', 'io', 'io', 'alu', 'record', 'ho', 'vine', 'sai', 'pe', 'hahahaha', '""', 'lol', 'anywaaaaaays', '...', 'haha']"
1,"['""', '@kinghendo95', ':', '@vondreaam', 'naw', 'old', 'tape', '.', 'new', 'cover', '.', 'upcoming', 'mixtape', '#kingofthehill', '""', 'yeah', ""i'm"", 'waiting', 'hoe', 'mayne', '!']"
1,"['""', '@kingteej_', ':', 'ol', 'dirty', 'foot', 'ass', 'bitches', '..', '""', 'funny', '.']"
1,"['""', '@king_shawn_6', ':', '@white_thunduh', ""that's"", 'get', 'yellow', 'flags', 'amazing', '👏', '😌', '""', 'hell', 'yeah', 'niggy']"
1,"['""', '@kissmysmilee', ':', 'got', 'time', 'bitches', 'actin', 'iffy', '.', '""']"
2,"['""', '@knightfanneal', '#ucfpinkparty', 'come', 'stay', 'alive', 'knights', 'nation', '!', '!', '!', '""', 'still', 'early', 'bird', 'special', '.', '#comeatmeut']"
1,"['""', '@kyranadiya_', ':', 'hoes', ""ain't"", 'loyal', ';', ""ain't"", 'http://t.co/h1ubsvbkgl', '""', 'smfh', '&', 'wonder', 'nobody', 'decent', 'wants']"
1,"['""', '@lcistj', ':', 'bruh', ',', 'studs', 'keep', 'thinking', ""i'm"", 'soft', 'hell', '.', 'ask', 'ya', 'girl', 'many', 'times', 'screamed', 'bitch', '.', 'oh', 'okay', '.', 'stfu', '.', '""', 'bye', 'hoe', '!']"
1,"['""', '@lodycash', ':', 'dry', 'pussy', 'bitches', 'always', 'blame', 'condom', '😂', '""', '👏', '😂', '👏', '😂']"
1,"['""', '@lunaraps', ':', 'shut', 'yo', 'bitch', 'ass', '!', 'https://t.co/iemn1u0gm5', '""', '😭', '😂']"
1,"['""', '@laflaregodjosh', ':', 'gucci', 'mane', 'jail', 'dropping', 'mixtapes', 'every', 'month', 'hoes', ""can't"", 'even', 'text', 'back', '""']"
1,"['""', '@latrobemark', ':', 'love', 'hoes', 'money', 'wats', 'wrong', 'niggas', '""']"
1,"['""', '@lebronvuitton', ':', 'loyal', 'bitch', 'burbs', 'without', 'daddy', 'issues', 'like', 'finding', 'holographic', 'mewtwo', '.', '""', '...', 'sounding', 'like', 'lol']"
1,"['""', '@lilfridayhoe', ':', 'easy', 'cum', ',', 'easy', 'hoe', '""', ""that's"", 'fact', '!']"
1,"['""', '@lifeasbros', ':', 'charlie', 'sheen', 'real', 'http://t.co/gggdk3kov7', '""', 'major', 'fucking', 'respect', 'charlie', 'sheen', '.']"
1,"['""', '@lightskingawdd', ':', 'wish', 'bae', '😕', '""', 'got', 'hoes', 'tho']"
1,"['""', '@lil_mike_12', ':', 'fuck', 'twerking', 'bitch', 'cook', '?', '""']"
1,"['""', '@linniekravitz', ':', '@wesgodlaflare', 'bitch', 'wtf', '""', 'http://t.co/dasmycxodb']"
1,"['""', '@lipe_the_great', ':', '“', '@h0rheyd', ':', '""', '@lipe_the_great', ':', 'shut', 'zoe', '""', 'fight', 'pussy', '”', 'zoe', '?', ""i'm"", 'good', ',', 'man', '.', '""', 'good', ""ma'am"", '.', 'move', 'along']"
1,"['""', '@lolaaisdope', ':', 'lmao', 'fucking', 'snake', 'bitches', '""', '@', 'em']"
1,"['""', '@loveable_aizah', ':', 'big', 'booty', 'hoes', 'everywhere', 'sheesh', '😍', '""', 'damn', '🌿', '👀', '🌿']"
2,"['""', '@mlbnetwork', ':', 'stay', 'tuned', '@mlbnetwork', 'update', 'report', '@yankees', '1b', '@teixeiramark25', '8-10', 'weeks', '""', '@dliming35', '#bum']"
2,"['""', '@m_rad', ':', '“', '@dezdlt', ':', '""', 'play', 'soccer', ',', 'cheat', 'girls', ',', 'wear', 'khaki', 'coloured', 'cargos', '""', 'haircut', 'http://t.co/tycihd6pkw', '”', 'yes', 'lmfao', '""', '@soccerboy_04']"
1,"['""', '@madflyentist', ':', 'oregon', 'chokes', 'every', 'year', 'get', 'field', 'trash', 'ass', 'program', '""', 'rft']"
1,"['""', '@mannydiesel', ':', 'def', 'cowboy', 'lol', 'rt', '@artoffloyd', ':', 'terrell', 'owens', 'best', 'eagle', '&', 'cowboy', 'ever', '""', '..', 'dude', 'cried', 'like', 'bitch', 'tv', ',', 'romo']"
0,"['""', '@markroundtreejr', ':', 'lmfaoooo', 'hate', 'black', 'people', 'https://t.co/rnvd2nlcdr', '""', ""there's"", 'black', 'people', 'niggers']"
1,"['""', '@master11_', ':', '@20tolife_', '@gabrielastarr', 'could', 'u', 'bitch', '""', 'potent']"
2,"['""', '@maxmayo77', ':', 'http://t.co/3jk4kr44x3', '""', 'pissed', 'lad', 'past', '.', 'would', 'lick', 'dirty', 'soles', 'slept', '.']"
2,"['""', '@maxmayo77', ':', 'http://t.co/prrskknqrv', '""', 'love', 'frat', 'boy', 'w', '/', 'soft', 'long', 'soles']"
2,"['""', '@maxmayo77', ':', 'http://t.co/xpsc3makgj', '""', 'sexy', 'lad', 'hot', 'soles', 'arches', '.']"
1,"['""', '@megamindnick', ':', '@white_thunduh', 'nah', 'fam', 'gotta', 'cheat', 'hoes', '""', 'depends', 'female', 'feel']"
2,"['""', '@mesha_nojas', ':', '@_vontethekidd', '👏', '👏', '👏', '🙌', '""', 'got', 'hicks', 'lol']"
